员工ID,员工姓名,员工性别,员工电话,员工邮箱,员工状态,员工职位,员工部门,员工入职时间,员工离职时间,备注
289,谭平,男,18873658548,wei67@example.net,在职,市场专员,市场部,2018-12-21,,
290,邓玲,男,14517770161,gang79@example.net,在职,会计,财务部,2017-01-08,,
291,陈桂兰,男,15506954066,jieding@example.com,在职,架构师,技术部,2020-03-28,,内容通过次数如果更多进行出现.
292,邱飞,女,15955006443,xiulan75@example.com,离职,架构师,技术部,2016-01-28,2018-04-26,
293,高小红,女,15514043571,xiayao@example.org,离职,出纳,财务部,2013-07-13,2020-03-05,
294,麻金凤,男,18784422968,jun43@example.org,离职,销售代表,销售部,2016-05-29,2016-09-25,
295,胡丽华,女,18699317226,juan26@example.net,在职,HR专员,人事部,2020-09-13,,
296,李博,男,15568850814,qiangzhu@example.net,在职,销售经理,销售部,2019-06-11,,事情音乐为了生产首页.
297,唐宁,女,18542937354,taoxia@example.net,在职,后端工程师,技术部,2018-09-11,,浏览电子方面如果时候.
298,邹琴,男,13791074174,sunmin@example.org,在职,前端工程师,技术部,2018-09-30,,
299,田宇,女,13098005537,jiaxiuying@example.net,离职,销售代表,销售部,2020-01-06,2020-01-08,
300,杨淑英,女,13414946868,khan@example.org,在职,市场经理,市场部,2019-08-12,,这是目前方面经验学习成为下载提高.
301,陈玉华,女,15951858250,nshi@example.org,在职,出纳,财务部,2020-11-20,,
302,陈志强,女,13933039416,yongguo@example.net,在职,财务主管,财务部,2016-11-17,,
303,蒋桂珍,男,13387184844,lizhang@example.com,在职,财务主管,财务部,2016-09-27,,
304,谢亮,男,13894958621,axia@example.com,在职,市场经理,市场部,2015-05-30,,
305,胡瑞,女,15355069211,mingmo@example.net,在职,销售经理,销售部,2016-03-02,,
306,孙倩,女,13207758638,mingliang@example.com,在职,会计,财务部,2019-05-20,,
307,刘丹,男,13637910283,chaoyi@example.net,离职,HR专员,人事部,2018-06-25,2019-08-30,现在国际企业回复你们.
308,朴建华,男,15142991999,zhangjing@example.net,在职,销售经理,销售部,2018-02-19,,评论主题运行计划基本.
309,邓桂芝,女,13364025129,li53@example.org,在职,出纳,财务部,2015-02-07,,留言完成重要状态准备.
310,张岩,女,18170751097,guiying29@example.com,在职,架构师,技术部,2016-11-30,,
311,高秀英,女,13567318822,pzhang@example.org,在职,市场专员,市场部,2020-05-21,,
312,满文,女,15682762143,chao20@example.net,在职,测试工程师,技术部,2017-08-09,,
313,陈燕,男,14519082626,zwei@example.com,在职,销售代表,销售部,2020-07-11,,
314,许婷,男,14516783467,dutao@example.net,在职,市场专员,市场部,2017-06-26,,
315,全娟,男,18715335101,chenxia@example.org,离职,销售代表,销售部,2016-06-09,2019-03-19,
316,赵春梅,女,18685758005,jqin@example.com,在职,会计,财务部,2014-06-10,,
317,贺宁,男,13266103473,pingcui@example.net,在职,后端工程师,技术部,2019-08-19,,
318,黄淑华,女,15590697232,ftang@example.net,离职,出纳,财务部,2013-07-17,2016-12-03,
319,罗玉梅,女,18549695378,xulei@example.net,在职,销售经理,销售部,2019-07-12,,
320,苏磊,女,13222666565,yuanyan@example.org,在职,市场经理,市场部,2014-05-16,,
321,孙秀云,女,15656325660,yang39@example.com,离职,市场经理,市场部,2014-05-29,2017-10-12,
322,杨波,男,18044731237,lwan@example.net,在职,架构师,技术部,2013-06-13,,
323,汤淑兰,女,18263135156,dzhang@example.com,在职,市场经理,市场部,2014-07-18,,
324,周玉梅,男,13200622987,dmo@example.com,在职,财务主管,财务部,2013-09-15,,
325,郑楠,男,14517609669,jie09@example.com,在职,市场经理,市场部,2016-11-21,,
326,刘磊,男,13508145616,ming43@example.org,在职,市场专员,市场部,2018-08-28,,支持销售所有很多包括为什然后.
327,王桂芝,男,13105776557,idai@example.com,在职,财务主管,财务部,2018-06-27,,学生因为个人问题必须.
328,曹萍,女,15263450369,jingdeng@example.net,在职,人事经理,人事部,2017-02-26,,
329,蒙彬,男,15023930921,lihuang@example.com,离职,测试工程师,技术部,2018-02-21,2020-10-03,
330,陈秀云,男,13842497386,opan@example.net,在职,人事经理,人事部,2013-06-09,,
331,王玲,男,18269735124,emao@example.com,在职,市场专员,市场部,2019-03-19,,
332,周阳,男,13402043181,oxiang@example.org,在职,HR专员,人事部,2020-06-03,,
333,卢柳,女,13205323040,yangtan@example.org,在职,会计,财务部,2013-11-02,,
334,梁玉兰,女,14732136355,mmo@example.com,离职,前端工程师,技术部,2018-08-21,2020-07-03,关系历史威望介绍最后完全重要.
335,李帅,女,13237279985,xiashao@example.com,在职,测试工程师,技术部,2013-09-20,,不是企业以后项目北京评论是否.
336,李帅,男,18672871449,zshen@example.org,在职,架构师,技术部,2015-11-30,,实现表示网站但是今年特别.
337,陈桂芳,女,18649614212,maona@example.net,在职,市场经理,市场部,2018-10-04,,
338,李东,女,13061276923,xiajun@example.com,在职,市场专员,市场部,2014-04-01,,
339,李静,男,13570461398,txu@example.com,离职,人事经理,人事部,2013-09-29,2015-09-10,以下生活不过来自那些投资.
340,郭桂芝,男,18784004956,lidu@example.com,离职,销售代表,销售部,2020-01-20,2020-12-17,
341,刘玉珍,女,13060845778,zhengxia@example.net,离职,后端工程师,技术部,2019-10-22,2019-11-29,
342,杨玉华,男,13792683545,hdeng@example.com,离职,会计,财务部,2014-10-03,2017-03-21,
343,翁璐,男,15846665155,zhouxiuying@example.net,在职,销售代表,销售部,2014-02-02,,
344,李凯,女,13767133145,oqian@example.org,离职,会计,财务部,2020-04-25,2020-08-06,然后责任深圳.
345,郭凤兰,男,18731850647,guiyingxu@example.org,在职,市场专员,市场部,2019-08-03,,
346,杨丽娟,男,15956239405,nyu@example.com,在职,人事经理,人事部,2013-10-18,,只有之间大家如果管理以后地区.
347,陈帅,男,15252268601,xia76@example.org,在职,测试工程师,技术部,2020-04-10,,
348,毛玉兰,女,13088559238,weilong@example.com,在职,架构师,技术部,2013-06-18,,
349,何芳,女,18167954477,na37@example.org,离职,市场经理,市场部,2014-02-19,2016-05-11,实现出来根据需要决定.
350,吉玉华,女,14729323459,rcai@example.net,在职,销售经理,销售部,2020-03-17,,
351,何楠,男,15939480474,xiulancui@example.net,在职,财务主管,财务部,2017-01-29,,城市文化最后中国如何的人.
352,林兰英,男,13227323284,gyu@example.com,在职,人事经理,人事部,2019-11-10,,
353,蒋楠,男,18609788746,pinglin@example.org,离职,市场经理,市场部,2015-11-20,2017-05-09,
354,李飞,女,13793071085,ufan@example.com,离职,出纳,财务部,2016-09-27,2020-02-21,组织得到电脑作品.
355,曾海燕,男,18501507448,tianxiulan@example.com,离职,前端工程师,技术部,2018-05-18,2018-06-22,
356,关桂香,女,13436096323,jie03@example.com,在职,财务主管,财务部,2015-07-30,,
357,许桂花,女,13046455538,fqiao@example.net,在职,人事经理,人事部,2013-12-07,,
358,扈勇,女,15034946859,nayin@example.org,在职,市场经理,市场部,2013-07-16,,
359,鞠强,女,14756533922,pfeng@example.net,离职,财务主管,财务部,2018-04-10,2020-03-11,
360,邓莹,男,18915834324,yetao@example.org,在职,市场专员,市场部,2017-10-27,,
361,孙杨,女,13242606925,pingzhao@example.net,在职,财务主管,财务部,2016-12-19,,
362,张坤,男,13138161929,gonggang@example.net,在职,HR专员,人事部,2017-02-17,,
363,郑建平,男,13997819710,laijun@example.net,在职,后端工程师,技术部,2013-11-21,,
364,舒坤,男,15924054876,xia32@example.net,在职,出纳,财务部,2017-07-21,,
365,李琳,女,14522665924,hwan@example.org,在职,会计,财务部,2018-08-26,,
366,王兰英,女,18122722877,jiexiong@example.net,在职,HR专员,人事部,2017-05-02,,
367,李淑兰,男,13488320388,li57@example.net,离职,市场经理,市场部,2013-12-13,2017-08-12,质量我的的人开发不能.
368,朱亮,女,13664012319,minyan@example.org,在职,出纳,财务部,2013-10-07,,
369,周海燕,男,13149776140,abai@example.com,离职,人事经理,人事部,2018-09-14,2019-03-27,查看目前质量作为我的.
370,胡浩,女,18782640273,guiying47@example.net,在职,HR专员,人事部,2018-10-31,,表示认为组织生活管理.
371,周岩,男,13755007797,tianli@example.com,在职,测试工程师,技术部,2015-04-26,,
372,叶颖,男,18806290647,na21@example.org,在职,后端工程师,技术部,2014-05-08,,
373,李红,男,18535880974,qsun@example.com,离职,测试工程师,技术部,2020-11-21,2020-11-22,
374,罗红,男,15507953988,chaogao@example.com,在职,财务主管,财务部,2013-12-02,,
375,杨涛,男,13758015272,leidu@example.org,在职,销售代表,销售部,2014-04-26,,
376,王玉,男,13006819274,zengjun@example.com,在职,财务主管,财务部,2017-10-18,,
377,赵成,女,14531585363,luogang@example.net,在职,市场专员,市场部,2015-01-25,,
378,曾建军,女,15199083742,mingcheng@example.com,在职,人事经理,人事部,2019-01-26,,
379,罗秀英,女,13980687764,sujing@example.org,离职,出纳,财务部,2020-12-23,2020-12-23,
380,熊凤兰,男,15513501092,chao09@example.com,在职,出纳,财务部,2018-11-12,,
381,齐淑珍,女,14769108420,linjie@example.net,在职,市场专员,市场部,2013-08-31,,数据也是精华到了支持只有.
382,郭华,男,13729869569,tao61@example.com,离职,后端工程师,技术部,2015-11-20,2016-04-08,
383,邓敏,女,13738291169,taojie@example.com,在职,市场专员,市场部,2019-03-07,,
384,杨晶,女,13111183126,longxia@example.net,在职,市场专员,市场部,2020-12-08,,
385,张淑英,女,15367526844,lifang@example.net,在职,HR专员,人事部,2020-09-19,,
386,申华,男,14788185798,xiulanyang@example.org,在职,财务主管,财务部,2020-10-23,,
387,吴秀云,女,15190783979,lixiang@example.org,在职,架构师,技术部,2019-01-04,,设备运行问题只是怎么注册资料日本.
388,高燕,女,18130038238,wjin@example.com,在职,销售经理,销售部,2016-01-10,,
389,张桂英,女,15305589589,chao55@example.org,在职,架构师,技术部,2020-04-15,,企业不能更新最后无法这是只有.
390,刘荣,女,18118886688,guiying73@example.net,在职,人事经理,人事部,2019-06-21,,
391,施辉,男,15147148534,tshao@example.net,在职,后端工程师,技术部,2014-04-25,,女人项目中国开始经济社区.
392,曹娟,女,15163736935,qiaomin@example.net,离职,人事经理,人事部,2015-01-13,2018-03-06,设备公司方式活动学校其他我们.
393,鞠桂香,男,18555987894,ubai@example.com,在职,会计,财务部,2018-03-10,,继续还是是一比较直接.
394,段峰,女,15915936908,yanghuang@example.com,在职,销售代表,销售部,2013-12-03,,
395,郑兰英,男,18536976505,xiexia@example.com,在职,销售代表,销售部,2020-10-11,,
396,曾颖,女,15883886399,maoli@example.net,在职,出纳,财务部,2018-05-06,,
397,杨秀云,女,18831019500,weizheng@example.org,在职,后端工程师,技术部,2017-05-06,,
398,王玉英,男,13623466736,yjin@example.com,在职,架构师,技术部,2019-10-21,,
399,彭桂珍,男,18612811975,chao07@example.net,在职,测试工程师,技术部,2018-11-27,,
400,陈佳,男,13000769339,pingzhou@example.org,在职,人事经理,人事部,2016-08-17,,特别时候我的只是功能决定.
401,张红,女,13514910833,jun70@example.org,在职,人事经理,人事部,2013-08-15,,新闻免费世界必须.
402,吴雷,女,13053490605,yijie@example.net,在职,HR专员,人事部,2019-02-26,,
403,姜静,男,15373717551,tao18@example.com,在职,测试工程师,技术部,2020-11-11,,
404,季桂香,男,13255195929,yding@example.com,在职,HR专员,人事部,2014-09-26,,
405,解玉,男,18612248302,gang79@example.org,在职,市场经理,市场部,2013-11-03,,
406,黎云,女,18823560063,minmeng@example.com,在职,市场经理,市场部,2020-02-12,,
407,夏璐,男,13053090860,vcui@example.com,离职,市场专员,市场部,2019-11-16,2019-11-18,部分市场作为时候.
408,施辉,男,18171502245,hqin@example.com,在职,人事经理,人事部,2014-01-20,,知道销售个人基本查看.
409,钟玉华,男,13607674038,pluo@example.org,离职,架构师,技术部,2013-12-23,2020-06-09,东西就是论坛到了是否帮助控制.
410,张东,女,18112908314,yang27@example.com,在职,市场专员,市场部,2016-01-05,,
411,陈淑珍,男,14591008789,taoshi@example.com,在职,销售代表,销售部,2016-01-09,,一下必须以及这个来自.
412,张晶,男,13749806737,jiehao@example.org,在职,市场专员,市场部,2016-12-26,,
413,丁博,男,15686529707,csun@example.com,在职,市场经理,市场部,2018-01-25,,
414,魏红霞,女,15912476346,btao@example.com,在职,市场专员,市场部,2016-12-30,,
415,陈文,男,13420614098,taolin@example.net,在职,架构师,技术部,2020-09-15,,
416,鞠桂芳,男,13741290798,lei42@example.com,在职,后端工程师,技术部,2018-12-30,,
417,姚凯,女,15041003417,wei17@example.com,离职,人事经理,人事部,2015-05-13,2019-11-04,
418,王桂兰,男,13860617618,juan42@example.net,在职,HR专员,人事部,2018-02-28,,
419,陈凤英,女,13954141468,qluo@example.com,在职,会计,财务部,2015-12-19,,
420,陈秀珍,女,14573146684,li43@example.com,在职,出纳,财务部,2015-12-24,,应用一种电子发展联系一样方面任何.
421,崔辉,男,18231110654,xiongmin@example.com,在职,出纳,财务部,2016-02-22,,内容有关上海正在专业一下同时.
422,陈畅,男,18781501438,juantang@example.org,在职,市场专员,市场部,2015-02-15,,
423,唐伟,女,18265136559,taohu@example.com,在职,财务主管,财务部,2015-06-01,,
424,文秀华,女,15596186502,lei62@example.net,在职,出纳,财务部,2019-01-30,,应该社会其他一定标题您的.
425,刘岩,女,15821341448,mingqian@example.com,在职,HR专员,人事部,2020-06-08,,
426,马海燕,男,18022063947,jing12@example.org,在职,财务主管,财务部,2013-09-15,,
427,袁旭,女,15265107278,yandu@example.net,离职,销售代表,销售部,2015-03-05,2018-11-11,
428,王秀兰,女,18795616925,litian@example.org,在职,会计,财务部,2016-04-15,,
429,王勇,男,15623557557,xiulan08@example.com,在职,HR专员,人事部,2019-05-16,,
430,李璐,女,13201566292,yan77@example.org,在职,市场经理,市场部,2017-09-24,,
431,郭秀兰,女,15259376692,wluo@example.net,在职,市场经理,市场部,2013-11-11,,
432,马凤兰,女,15505101879,jie34@example.net,在职,架构师,技术部,2014-12-18,,
433,孙春梅,男,13876829361,fangzhao@example.net,在职,出纳,财务部,2018-09-30,,
434,周文,男,13848973987,yangzhong@example.com,在职,测试工程师,技术部,2016-06-11,,
435,吴云,男,18867962957,fanggang@example.net,离职,市场经理,市场部,2016-06-14,2018-12-30,
436,张畅,女,13647007453,yejing@example.net,在职,架构师,技术部,2019-05-13,,
437,王莹,男,15960385358,esong@example.com,在职,销售代表,销售部,2015-02-12,,
438,杨强,男,18654802315,fujing@example.org,在职,HR专员,人事部,2017-07-24,,报告在线软件.
439,李玉华,男,13605176185,yanfeng@example.net,在职,测试工程师,技术部,2015-12-06,,
440,苏浩,男,18577219061,qiujuan@example.org,在职,财务主管,财务部,2020-09-20,,
441,谢俊,女,13777603076,jundeng@example.net,离职,市场专员,市场部,2017-03-25,2019-12-07,
442,董晶,男,18180721399,ganghan@example.net,离职,人事经理,人事部,2017-02-20,2020-08-25,
443,农东,女,13518021493,weicheng@example.org,离职,销售代表,销售部,2014-11-17,2019-05-28,简介非常开始制作还是.
444,葛玉,女,15503180154,pingxue@example.org,在职,销售代表,销售部,2019-09-08,,
445,孙玲,女,13480467589,yang06@example.net,在职,市场经理,市场部,2014-01-31,,
446,林娜,男,18691041887,gang78@example.net,离职,出纳,财务部,2014-01-05,2018-10-01,以及全国增加帖子注册.
447,杨明,女,13983670898,na99@example.org,在职,测试工程师,技术部,2013-11-09,,历史这样全部其他一般就是.
